Date,Cons,Irradiacao,PV_Out,Surplus
2018-01-08 01:00:00,82.25,0.0,0.0,-82.25
2018-01-08 02:00:00,78.75,0.0,0.0,-78.75
2018-01-08 03:00:00,78.0,0.0,0.0,-78.0
2018-01-08 04:00:00,77.5,0.0,0.0,-77.5
2018-01-08 05:00:00,79.75,0.0,0.0,-79.75
2018-01-08 06:00:00,84.25,0.0,0.0,-84.25
2018-01-08 07:00:00,102.5,0.125,76.89656249999999,-25.603437500000013
2018-01-08 08:00:00,153.0,0.335,206.08278750000002,53.08278750000002
2018-01-08 09:00:00,191.5,0.409,251.6055525,60.10555249999999
2018-01-08 10:00:00,226.0,0.442,271.906245,45.90624500000001
2018-01-08 11:00:00,238.5,0.449,276.2124524999999,37.71245249999993
2018-01-08 12:00:00,239.25,0.429,263.90900249999993,24.65900249999993
2018-01-08 13:00:00,237.75,0.407,250.37520749999996,12.62520749999996
2018-01-08 14:00:00,241.5,0.373,229.4593425,-12.040657500000009
2018-01-08 15:00:00,243.25,0.242,148.87174499999998,-94.37825500000002
2018-01-08 16:00:00,237.0,0.007,4.306207499999999,-232.6937925
2018-01-08 17:00:00,223.0,0.0,0.0,-223.0
2018-01-08 18:00:00,194.0,0.0,0.0,-194.0
2018-01-08 19:00:00,158.0,0.0,0.0,-158.0
2018-01-08 20:00:00,128.25,0.0,0.0,-128.25
2018-01-08 21:00:00,109.0,0.0,0.0,-109.0
2018-01-08 22:00:00,97.5,0.0,0.0,-97.5
2018-01-08 23:00:00,93.25,0.0,0.0,-93.25
2018-01-09 00:00:00,89.0,0.0,0.0,-89.0
2018-01-09 01:00:00,86.25,0.0,0.0,-86.25
2018-01-09 02:00:00,85.5,0.0,0.0,-85.5
2018-01-09 03:00:00,86.0,0.0,0.0,-86.0
2018-01-09 04:00:00,83.75,0.0,0.0,-83.75
2018-01-09 05:00:00,84.75,0.0,0.0,-84.75
2018-01-09 06:00:00,89.25,0.0,0.0,-89.25
2018-01-09 07:00:00,109.5,0.125,76.89656249999999,-32.60343750000001
2018-01-09 08:00:00,158.0,0.335,206.08278750000002,48.08278750000002
2018-01-09 09:00:00,198.5,0.409,251.6055525,53.10555249999999
2018-01-09 10:00:00,237.25,0.442,271.906245,34.65624500000001
2018-01-09 11:00:00,259.25,0.449,276.2124524999999,16.962452499999927
2018-01-09 12:00:00,261.0,0.429,263.90900249999993,2.9090024999999287
2018-01-09 13:00:00,259.0,0.407,250.37520749999996,-8.62479250000004
2018-01-09 14:00:00,265.0,0.373,229.4593425,-35.54065750000001
2018-01-09 15:00:00,263.25,0.242,148.87174499999998,-114.37825500000002
2018-01-09 16:00:00,255.5,0.007,4.306207499999999,-251.1937925
2018-01-09 17:00:00,231.25,0.0,0.0,-231.25
